127.0.0.1 - - [09/Jul/2021:13:24:07 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/index.html HTTP/1.1" 200 37791
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/css/jquery-ui.min.css HTTP/1.1" 200 32076
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/css/bootstrap.min.css HTTP/1.1" 200 159515
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/css/owl.carousel.min.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/css/nice-select.css HTTP/1.1" 200 4007
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/css/font-awesome.min.css HTTP/1.1" 200 31000
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/css/elegant-icons.css HTTP/1.1" 200 25252
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/css/slicknav.min.css HTTP/1.1" 200 2505
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/css/style.css HTTP/1.1" 200 58450
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/js/jquery-3.3.1.min.js HTTP/1.1" 200 86927
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/js/bootstrap.min.js HTTP/1.1" 200 60010
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/js/jquery.nice-select.min.js HTTP/1.1" 200 2942
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/js/jquery-ui.min.js HTTP/1.1" 200 253669
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/js/jquery.slicknav.js HTTP/1.1" 200 20977
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/js/mixitup.min.js HTTP/1.1" 200 89031
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/js/main.js HTTP/1.1" 200 6068
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/img/logo.png HTTP/1.1" 200 18024
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/img/latest-product/prepare.jpg HTTP/1.1" 200 7856
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/js/owl.carousel.min.js HTTP/1.1" 200 44342
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/img/blog/blog-2.jpg HTTP/1.1" 200 31375
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/img/blog/blog-1.jpg HTTP/1.1" 200 41771
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/img/blog/blog-3.jpg HTTP/1.1" 200 34521
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/img/payment-item.png HTTP/1.1" 200 9847
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/fonts/ElegantIcons.woff HTTP/1.1" 200 63664
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/img/hero/banner.jpg HTTP/1.1" 200 1338772
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/img/featured/feature-1.jpg HTTP/1.1" 200 26022
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/img/featured/feature-4.jpg HTTP/1.1" 200 39887
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/img/featured/feature-2.jpg HTTP/1.1" 200 39081
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/img/featured/feature-5.jpg HTTP/1.1" 200 34204
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/img/featured/feature-3.jpg HTTP/1.1" 200 3595845
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/img/featured/feature-6.jpg HTTP/1.1" 200 26908
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/img/featured/feature-7.jpg HTTP/1.1" 200 40389
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/img/featured/feature-8.jpg HTTP/1.1" 200 26308
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/img/categories/cat-1.jpg HTTP/1.1" 200 11216
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/img/categories/cat-4.jpg HTTP/1.1" 200 20838
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/img/categories/cat-2.jpg HTTP/1.1" 200 15404
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/img/categories/cat-3.jpg HTTP/1.1" 200 15625
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:24:08 +0900] "GET /GivEngel/img/categories/cat-5.jpg HTTP/1.1" 200 15724
0:0:0:0:0:0:0:1 - - [09/Jul/2021:13:25:14 +0900] "GET /GivEngel/index.jsp HTTP/1.1" 200 38561
